username,date,cash,shares_value,penalty,total
aRmy,3/27/2021 12:05,100000,0,0,100000
aRmy,3/27/2021 12:10,99986.625,0,0,99986.625
aRmy,3/27/2021 12:15,72374.755,27843.41,0,100218.165
aRmy,3/27/2021 12:20,72420.82,27799.535,0,100220.355
aRmy,3/27/2021 12:25,72522.2029,27825.825,0,100348.0279
aRmy,3/27/2021 12:30,72531.9279,27771.64,0,100303.5679
aRmy,3/27/2021 12:35,72565.3579,27724.82,0,100290.1779
aRmy,3/27/2021 12:40,72547.7329,27791.15,0,100338.8829
aRmy,3/27/2021 12:45,72526.7379,27842.155,0,100368.8929
aRmy,3/27/2021 12:50,72497.9829,27893.795,0,100391.7779
aRmy,3/27/2021 12:55,72431.96319,28000.005,0,100431.9682
aRmy,3/27/2021 13:00,72410.28319,28102.35,0,100512.6332
aRmy,3/27/2021 13:05,72492.35649,28050,0,100542.3565
aRmy,3/27/2021 13:10,72373.15097,28011.535,0,100384.686
aRmy,3/27/2021 13:15,72363.68097,28005.92,0,100369.601
aRmy,3/27/2021 13:20,72413.48597,27975.005,0,100388.491
aRmy,3/27/2021 13:25,72392.28597,27977.49,0,100369.776
aRmy,3/27/2021 13:30,72376.16597,28043.47,0,100419.636
aRmy,3/27/2021 13:35,100435.116,0,0,100435.116
aRmy,3/27/2021 13:40,100399.376,0,0,100399.376
aRmy,3/27/2021 13:45,100395.836,0,0,100395.836
aRmy,3/27/2021 13:50,100474.216,0,0,100474.216
aRmy,3/27/2021 13:55,100446.821,0,0,100446.821
aRmy,3/27/2021 14:00,100512.296,0,0,100512.296
aRmy,3/27/2021 14:05,72503.78533,27994.695,0,100498.4803
aRmy,3/27/2021 14:10,72500.78533,27967.6,0,100468.3853
aRmy,3/27/2021 14:15,72463.00533,27922.045,0,100385.0503
aRmy,3/27/2021 14:20,72371.30566,27972.39,0,100343.6957
aRmy,3/27/2021 14:25,72426.69566,27945.605,0,100372.3007
aRmy,3/27/2021 14:30,72512.16066,27834.695,0,100346.8557
aRmy,3/27/2021 14:35,72526.1852,27904.855,0,100431.0402
aRmy,3/27/2021 14:40,72514.2802,27853.38,0,100367.6602
aRmy,3/27/2021 14:45,72507.0152,27785.635,0,100292.6502
aRmy,3/27/2021 14:50,72460.5752,27853.32,0,100313.8952
aRmy,3/27/2021 14:55,72350.5302,27917.105,0,100267.6352
aRmy,3/27/2021 15:00,72426.9802,27882.815,0,100309.7952
aRmy,3/27/2021 15:05,100312.9052,0,0,100312.9052
aRmy,3/27/2021 15:10,100282.5702,0,0,100282.5702
aRmy,3/27/2021 15:15,100317.6002,0,0,100317.6002
aRmy,3/27/2021 15:20,100203.8383,0,0,100203.8383
aRmy,3/27/2021 15:25,100292.9295,0,0,100292.9295
aRmy,3/27/2021 15:30,100300.1495,0,0,100300.1495
aRmy,3/27/2021 15:35,72390.85451,27896.94242,0,100287.7969
aRmy,3/27/2021 15:40,72390.55451,27913.355,0,100303.9095
aRmy,3/27/2021 15:45,72405.87451,27921.56,0,100327.4345
aRmy,3/27/2021 15:50,72465.02451,27895.03,0,100360.0545
aRmy,3/27/2021 15:55,100323.9595,0,0,100323.9595
aRmy,3/27/2021 16:00,100342.3045,0,0,100342.3045
